Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Singapore,SGP,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,6.6
Singapore,SGP,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,6.6
Singapore,SGP,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,6.6
Singapore,SGP,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,6.6
Singapore,SGP,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,6.6
Singapore,SGP,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,6.6
Singapore,SGP,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,6.6
Singapore,SGP,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,6.6
Singapore,SGP,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,6.7
Singapore,SGP,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,7.3
Singapore,SGP,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,7.3
Singapore,SGP,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,7.4
Singapore,SGP,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,7
Singapore,SGP,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,7
Singapore,SGP,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,8
Singapore,SGP,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,7.5
Singapore,SGP,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,7.6
Singapore,SGP,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,8
Singapore,SGP,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,8
Singapore,SGP,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,12
Singapore,SGP,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,20
Singapore,SGP,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,20
Singapore,SGP,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,30
Singapore,SGP,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,30
Singapore,SGP,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,40
Singapore,SGP,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,50
Singapore,SGP,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,60
Singapore,SGP,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,60
Singapore,SGP,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,60
Singapore,SGP,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,70
Singapore,SGP,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,80
Singapore,SGP,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,80
Singapore,SGP,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,80
Singapore,SGP,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,80
Singapore,SGP,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,80
Singapore,SGP,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,80
Singapore,SGP,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,90
Singapore,SGP,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,110
Singapore,SGP,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,110
Singapore,SGP,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,100
Singapore,SGP,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,120
Singapore,SGP,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,120
Singapore,SGP,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,120
Singapore,SGP,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,130
