Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Singapore,SGP,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.919220055710306
Singapore,SGP,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.919220055710306
Singapore,SGP,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.919220055710306
Singapore,SGP,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.921787709497207
Singapore,SGP,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.92436974789916
Singapore,SGP,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.926966292134832
Singapore,SGP,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.930888575458392
Singapore,SGP,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.930888575458392
Singapore,SGP,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.930888575458392
Singapore,SGP,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.947666195190948
Singapore,SGP,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.03399433427762
Singapore,SGP,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.03693181818182
Singapore,SGP,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05413105413105
Singapore,SGP,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,1
Singapore,SGP,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,1
Singapore,SGP,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.15107913669065
Singapore,SGP,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0806916426513
Singapore,SGP,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.10304789550073
Singapore,SGP,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.1611030478955
Singapore,SGP,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.16448326055313
Singapore,SGP,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.77777777777778
Singapore,SGP,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194
Singapore,SGP,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.98507462686567
Singapore,SGP,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.98507462686567
