,,,,,,,,,,,,,,,,,,,,,,,
Theme: Society,,,,,,,,,,,,,,,,,,,,,,,
Subject: Environment,,,,,,,,,,,,,,,,,,,,,,,
Topic: Land Area and Land Use,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Forest Area (Including Mangroves) With Respect To The Total Land Area Of Singapore, Annual",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 21/06/2024,,,,,,,,,,,,,,,,,,,,,,,
Source: NATIONAL PARKS BOARD,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Per Cent
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
Percentage Of Forests (Including Mangroves) To Total Land Area,20.13,20.52,21.01,21.45,21.93,22.3,22.77,23.12,23.62,24.17,24.5,24.67,24.94,25.14,25.54,25.84,25.93,25.64,25.49,24.69,24.73,25.01,25.26
,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,
"Data align with Singapore's biennial reporting cycles to the United Nations Framework Convention on Climate Change.  The figures for 2019 to 2022 are based on projections and are subject to revision.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 03/04/2025,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,
